Wind_Speed,Wind_Direction,Air_Pressure
6,51,86
7,56,88
0,37,86
3,51,84
1,61,83
0,70,83
0,100,83
0,49,82
7,75,81
3,75,80
4,56,78
4,58,76
2,65,74
2,37,71
3,44,68
13,68,66
21,70,64
27,72,61
40,23,60
71,16,57
58,59,56
54,65,55
68,63,56
78,62,56
80,64,58
58,66,59
68,63,61
63,61,65
49,62,67
45,65,71
37,65,74
46,61,76
54,67,78
56,62,81
55,62,83
43,64,84
51,60,85
57,63,85
45,62,86
46,69,87
38,69,88
13,63,89
14,52,92
21,24,94
22,31,97
21,35,98
23,58,99
23,24,98
25,8,99
25,17,100
27,9,101
22,8,102
22,27,103
18,18,103
24,39,105
10,33,105
15,56,106
26,69,105
29,63,105
43,68,105
43,72,104
48,73,103
41,72,102
40,81,101
30,83,100
18,89,100
11,85,100
22,26,100
27,10,100
30,8,100
31,8,99
27,17,97
24,27,96
28,9,94
29,8,94
27,9,92
25,19,92
15,49,92
11,56,92
6,49,92
19,63,90
19,58,89
23,65,89
20,63,88
20,69,86
15,51,84
11,62,85
9,63,85
4,50,84
5,64,84
4,53,83
14,17,82
14,21,81
16,7,81
15,31,81
13,20,80
11,8,78
12,45,77
9,39,77
20,26,74
5,53,76
4,25,76
4,70,77
8,61,78
8,66,78
9,70,77
13,8,77
4,51,77
12,32,77
19,39,76
19,35,74
18,39,73
20,32,74
27,38,77
34,10,77
36,12,76
38,8,75
39,8,74
28,21,74
31,8,74
32,8,73
38,8,72
33,10,72
39,12,70
29,7,69
27,26,70
28,21,70
35,11,68
21,30,70
25,33,67
27,27,68
25,38,65
24,31,64
14,56,64
30,27,64
29,22,61
27,22,60
18,37,62
18,58,61
19,46,59
13,41,60
41,22,60
59,21,58
67,21,57
60,37,57
46,65,55
45,47,54
44,73,50
47,66,50
44,67,49
64,61,48
71,70,49
67,63,46
63,64,45
64,69,44
73,63,41
77,67,41
89,64,38
81,67,37
92,71,37
94,71,36
76,71,37
84,66,37
76,66,38
65,68,39
92,67,40
95,72,40
101,76,41
94,76,40
93,73,40
56,74,40
52,70,40
68,67,40
60,66,41
46,60,42
46,52,43
44,69,43
37,58,44
38,42,45
37,53,45
53,73,45
46,60,45
45,55,44
34,63,43
27,61,43
32,60,43
24,44,45
39,57,46
35,62,48
22,64,49
15,58,49
20,60,49
20,64,50
16,64,49
22,71,49
33,67,50
34,64,51
32,66,52
21,70,53
22,70,55
35,69,56
40,66,56
40,61,57
48,68,57
47,63,57
49,59,58
47,55,58
43,54,57
37,53,58
27,52,59
26,26,60
34,7,61
39,9,63
38,49,64
35,71,65
30,49,66
31,17,67
36,6,67
24,7,69
27,7,69
19,10,69
27,8,70
17,36,71
6,49,72
18,83,71
28,70,71
41,77,70
46,84,69
48,75,67
41,74,65
38,75,63
30,66,61
29,56,61
15,37,62
36,9,63
32,48,64
35,70,67
15,66,69
23,69,69
24,53,68
12,66,69
23,29,69
31,13,70
21,23,70
22,13,71
12,20,72
14,25,73
16,59,73
28,65,74
30,69,75
37,61,74
33,66,72
46,77,71
47,76,69
43,73,68
40,83,67
39,86,67
36,81,65
30,87,68
16,96,68
15,92,68
14,89,70
12,88,70
13,55,70
12,45,69
12,34,69
11,25,67
6,30,66
9,36,66
12,93,66
15,97,67
26,84,67
43,73,67
45,82,67
36,77,68
47,84,67
49,91,68
54,89,67
61,90,66
44,82,62
58,78,61
67,82,62
54,82,60
53,84,59
73,82,60
77,89,59
70,87,58
81,83,57
84,94,54
49,84,54
31,77,54
43,85,54
52,79,54
70,86,54
65,64,54
67,70,54
76,74,54
79,75,54
61,66,54
56,60,54
36,72,54
42,71,54
30,66,35
37,69,34
32,72,34
33,76,34
29,70,34
25,78,34
16,43,35
18,39,34
21,37,34
19,32,33
15,28,32
7,21,32
8,17,32
7,10,32
1,25,32
3,40,32
7,44,33
17,70,33
20,60,33
25,57,33
31,66,34
32,65,34
41,62,34
37,62,35
49,67,35
42,65,36
36,60,37
42,63,38
28,59,40
35,63,41
38,62,42
31,54,43
34,61,43
36,64,44
28,61,44
31,67,44
27,70,45
35,69,45
37,69,47
32,66,48
35,70,49
35,65,50
39,64,51
40,57,52
41,71,53
49,61,53
48,56,54
46,67,55
45,65,56
47,67,56
37,54,57
35,60,59
31,62,60
28,74,61
22,71,62
22,56,63
18,57,64
13,59,64
16,71,65
22,51,65
9,57,66
17,48,66
18,64,66
24,62,67
31,61,69
38,64,71
34,57,71
43,63,71
40,51,71
40,51,72
47,65,72
44,54,72
46,60,72
49,72,72
34,69,72
22,71,72
17,44,73
27,88,73
22,63,73
25,50,74
27,63,75
29,50,75
30,37,76
33,52,76
30,71,76
31,41,76
33,32,76
33,16,76
32,32,76
28,43,76
38,57,76
45,55,76
45,60,75
50,61,75
48,67,73
46,59,72
37,61,71
22,57,70
30,66,69
26,69,70
31,38,70
31,26,70
32,24,71
33,18,70
40,11,70
34,14,71
33,11,71
40,11,71
42,10,71
39,10,70
37,10,70
36,9,70
33,11,72
21,21,73
11,48,73
36,49,73
38,60,72
41,64,71
45,53,71
46,48,71
36,47,70
35,63,69
18,60,69
19,50,70
18,63,71
15,85,73
12,93,75
16,43,77
29,12,77
24,16,78
26,12,79
30,11,78
28,10,78
25,12,78
22,21,77
9,36,78
8,39,80
11,21,81
12,28,79
16,78,79
12,58,78
14,73,80
21,77,78
23,83,79
6,79,79
2,66,79
5,59,78
7,31,78
12,22,78
11,12,78
2,35,79
5,57,79
15,9,79
12,11,79
9,29,78
4,64,78
2,56,77
2,62,76
2,58,75
0,69,75
1,55,75
4,43,76
6,60,76
4,54,75
7,64,75
8,43,76
2,43,75
9,69,73
10,69,72
1,64,71
10,78,71
11,92,70
7,92,68
29,87,68
23,87,68
19,96,67
32,90,65
33,90,64
32,97,62
33,93,59
30,81,57
37,92,55
44,93,52
49,95,49
49,96,48
51,96,44
53,93,42
53,89,40
65,92,37
54,91,34
66,95,32
55,92,30
60,94,28
60,88,26
59,89,24
63,88,23
44,83,24
57,80,26
43,75,29
25,85,31
35,88,32
33,85,33
29,86,33
31,79,33
39,77,33
38,82,32
41,82,32
38,79,31
42,83,32
31,79,31
30,70,31
31,62,31
23,60,32
33,64,31
46,68,31
45,61,30
44,46,31
45,50,31
38,60,33
48,60,35
53,65,37
42,60,39
50,67,41
59,70,43
50,64,45
61,68,46
58,63,47
49,72,49
24,65,50
13,44,52
41,53,53
19,57,53
28,61,53
31,56,55
45,59,55
43,61,55
51,67,55
50,62,54
51,68,53
44,67,52
31,68,52
25,63,51
12,56,52
7,68,53
5,68,53
0,50,52
3,14,52
3,26,52
5,32,52
5,26,52
12,20,51
16,11,50
26,7,50
23,7,50
21,17,51
11,58,52
15,24,54
9,42,55
14,64,56
18,52,56
38,60,57
35,63,56
30,62,56
38,60,57
41,59,57
52,61,59
32,58,60
23,59,61
16,56,62
30,7,64
35,8,66
39,9,67
40,9,67
32,8,68
30,4,68
39,9,69
38,17,68
38,17,69
38,17,69
38,17,70
38,17,72
38,17,73
38,17,73
38,17,73
38,17,73
38,17,72
38,17,72
38,17,73
38,17,73
38,17,73
38,17,74
38,17,74
38,17,76
38,17,78
38,17,79
38,17,80
38,17,80
38,17,82
38,17,82
38,17,83
38,17,83
38,17,83
38,17,83
38,17,83
38,17,84
38,17,85
38,17,83
38,17,83
38,17,82
38,17,80
38,17,79
38,17,78
33,59,77
26,76,76
21,56,75
11,36,75
14,17,75
21,18,76
17,32,77
9,81,79
6,74,80
11,14,80
11,27,80
12,45,79
14,45,79
10,24,78
12,52,79
21,10,78
17,52,80
40,81,81
50,85,81
47,83,81
41,84,80
40,86,80
36,85,80
28,77,80
22,78,81
17,85,81
10,80,81
3,61,82
5,68,82
1,38,81
2,82,83
1,80,83
2,92,83
2,42,82
5,11,82
10,15,82
9,16,81
11,16,81
2,15,81
2,18,81
7,71,82
18,80,83
24,73,81
37,78,80
44,67,80
37,75,78
47,73,76
42,76,75
43,77,73
50,83,72
50,88,70
42,87,69
30,83,69
29,83,70
19,83,71
10,74,71
8,86,70
5,83,69
2,61,68
2,12,67
10,12,66
7,16,65
3,14,64
5,29,65
5,35,63
5,46,65
13,72,63
30,36,63
41,14,62
26,26,62
38,59,60
52,64,59
37,57,57
20,60,56
33,47,55
46,47,56
33,48,58
27,38,60
34,57,62
46,66,63
43,68,64
38,73,64
42,70,64
22,60,64
20,32,63
22,23,65
15,9,65
23,11,65
27,21,65
23,54,66
32,50,65
49,62,64
41,66,64
46,64,63
29,58,61
42,61,61
49,66,61
42,57,59
31,59,59
29,60,59
20,38,58
21,27,59
27,15,60
33,11,60
28,36,60
30,45,60
33,43,60
24,45,59
45,63,59
48,66,62
32,61,64
49,64,66
48,66,67
53,62,69
58,64,69
61,60,70
60,59,70
65,62,70
60,63,70
57,60,71
62,68,71
44,63,71
40,50,72
24,44,72
19,36,73
31,9,73
34,8,75
34,8,76
34,8,77
29,8,78
30,5,78
32,6,78
28,7,78
28,8,78
31,8,79
30,6,79
27,17,80
14,55,81
34,65,80
37,59,79
50,66,77
54,67,75
61,79,72
60,75,70
61,79,68
60,77,65
58,85,64
53,90,65
39,93,65
29,94,66
17,40,67
17,36,67
13,76,67
12,65,65
24,20,64
21,11,63
20,12,62
22,12,60
23,12,59
22,10,57
4,53,57
14,60,57
14,72,55
10,76,54
8,69,56
21,77,55
41,68,54
37,56,53
52,54,55
46,53,59
58,61,63
64,59,66
56,70,69
44,71,72
41,66,75
44,66,76
49,66,77
35,59,80
39,60,81
41,62,82
54,65,83
50,64,84
50,65,85
31,62,86
55,47,89
47,54,90
48,58,91
50,51,92
52,54,92
58,50,92
55,52,91
46,57,89
44,53,88
46,64,87
41,73,87
25,75,87
20,53,87
30,10,88
34,8,90
30,11,91
30,9,93
32,7,94
36,39,95
36,36,96
36,9,96
23,18,97
24,24,98
